Jurisdiction,iso_3166_2,YearDur,Year,"Bagasse, wood",Biogas,Black coal,Brown coal,Geothermal,Hydro,Large-scale solar PV,Natural gas,Oil products,Other,Small-scale solar PV,Total,Total non-renewable,Total renewable,Wind
AUS,AU-AUS,1989-90,1989,750.0,0.0,87573.0,33594.0,0.0,14880.0,0.0,14359.0,3552.0,0.0,0.0,154708.0,139078.0,15630.0,0.0
AUS,AU-AUS,1990-91,1990,769.0,0.0,89511.0,36048.0,0.0,16103.0,0.0,10772.0,3396.0,0.0,0.0,156599.0,139727.0,16872.0,0.0
AUS,AU-AUS,1991-92,1991,670.0,0.0,94325.1,34559.0,0.0,15768.0,0.0,11633.0,2362.0,0.0,10.9,159328.0,142879.1,16448.9,0.0
AUS,AU-AUS,1992-93,1992,670.0,0.0,97872.7,33248.0,0.0,16953.0,0.0,12295.0,2421.0,0.0,13.3,163473.0,145836.7,17636.3,0.0
AUS,AU-AUS,1993-94,1993,670.0,0.0,100544.1,34890.0,0.0,16649.0,0.0,12199.0,2320.0,0.0,15.9,167292.0,149953.1,17338.9,4.0
AUS,AU-AUS,1994-95,1994,670.0,53.0,102522.1,35832.0,0.0,16239.0,0.0,14913.0,2738.0,0.0,18.9,172993.0,156005.1,16987.9,7.0
AUS,AU-AUS,1995-96,1995,670.0,258.0,106089.6,39427.0,0.0,15731.0,0.0,12445.0,2805.0,0.0,23.4,177456.0,160766.6,16689.4,7.0
AUS,AU-AUS,1996-97,1996,670.0,295.0,109452.2,41893.0,0.0,16852.0,0.0,11426.0,2175.0,0.0,27.8,182798.0,164946.2,17851.8,7.0
AUS,AU-AUS,1997-98,1997,670.0,359.0,116969.5,46633.0,0.0,15733.0,0.0,12934.0,1821.0,0.0,33.5,195161.0,178357.5,16803.5,8.0
AUS,AU-AUS,1998-99,1998,674.0,459.0,118586.3,49703.0,0.0,16563.0,0.0,16001.0,1729.0,0.0,37.7,203781.0,186019.3,17761.7,28.0
AUS,AU-AUS,1999-00,1999,685.0,449.0,123833.5,50200.0,0.0,16720.0,0.0,16245.0,1784.0,0.0,43.5,210018.0,192062.5,17955.5,58.0
AUS,AU-AUS,2012-13,2012,1714.34,1429.16,111491.1,47555.1,0.5,18269.6,0.0,51053.4,4464.3,0.0,3826.2,247763.3,214563.9,33199.4,7959.6
AUS,AU-AUS,2013-14,2013,2053.487,1445.903,106965.495,46076.2,0.5,18420.9,49.678,54393.9,5012.3,0.0,4366.277,249036.579,212447.895,36588.684,10251.939
